"name","category","min_ram","recommended_ram","cpu_cores","gpu_vram","storage_type","notes"
"vscode","Programming","8","16","4","0","SSD","Runs well on most systems"
"visual studio","Programming","8","16","4","0","SSD","Benefits from fast storage"
"android studio","Programming","8","16","4","0","SSD","Emulators need good CPU"
"flutter","Programming","8","16","4","0","SSD","Similar to Android Studio requirements"
"node","Programming","8","16","4","0","SSD","Development servers need good RAM"
"docker","Programming","16","32","4","0","SSD","Containers consume significant resources"
"pycharm","Programming","8","16","4","0","SSD","Python development IDE"
"photoshop","Content Creation","8","16","6","4","SSD","GPU acceleration helpful"
"premiere pro","Content Creation","16","32","8","6","NVMe","Video editing needs fast storage and GPU"
"after effects","Content Creation","16","32","8","6","NVMe","Very RAM intensive"
"davinci resolve","Content Creation","16","32","8","8","NVMe","Heavy GPU utilization"
"blender","Content Creation","16","32","8","8","NVMe","3D rendering needs powerful GPU"
"matlab","Engineering","8","16","4","0","SSD","Large datasets need more RAM"
"solidworks","Engineering","16","32","8","8","SSD","Professional CAD software"
"ansys","Engineering","32","64","16","12","NVMe","Simulation software needs high-end hardware"
"comsol","Engineering","16","64","12","0","NVMe","Multiphysics simulation"
"labview","Engineering","8","16","4","0","SSD","Graphical programming environment"
"autocad","Engineering","8","16","4","2","SSD","2D and 3D design software"
"unity","Game Development","16","32","8","6","NVMe","Game engine requiring good GPU"
"unreal engine","Game Development","16","32","8","8","NVMe","High-fidelity graphics engine"
"godot","Game Development","8","16","4","2","SSD","Lightweight game engine"
"gimp","Content Creation","4","8","4","0","SSD","Lightweight image editor"
"krita","Content Creation","4","8","4","0","SSD","Digital painting software"
"final cut pro","Content Creation","16","32","8","6","NVMe","Mac-only video editing software"
"ableton live","Audio Production","8","16","4","0","SSD","Music production software"
"fl studio","Audio Production","8","16","4","0","SSD","Popular DAW for music creation"
"logic pro","Audio Production","8","16","4","0","SSD","Mac-only music production software"
"pro tools","Audio Production","16","32","8","0","SSD","Industry-standard audio software"
"cubase","Audio Production","8","16","4","0","SSD","Comprehensive music production suite"
"reaper","Audio Production","4","8","4","0","SSD","Lightweight DAW for audio editing"
"zbrush","3D Modeling","16","32","8","8","NVMe","   Advanced 3D sculpting software"
"maya","3D Modeling","16","32","8","8","NVMe","Professional 3D animation software"
"3ds max","3D Modeling","16","32","8","8","NVMe","3D modeling and rendering software"
"sketchup","3D Modeling","8","16","4","2","SSD","User-friendly 3D design tool"
"rhino","3D Modeling","8","16","4","2","SSD","Vers      atile 3D modeling software"
"fusion 360","3D Modeling","16","32","8","4","NVMe","Cloud-based 3D CAD software"
"solid edge","Engineering","16","32","8","8","SSD","Professional CAD software"
"catia","Engineering","32","64","16","12","NVMe","High-end CAD/CAM/CAE software"
"siemens nx","Engineering","32","64","16","12","NVMe","Advanced engineering software suite"


