"name","min_ram","recommended_ram","min_gpu","recommended_gpu","storage","notes"
"cyberpunk 2077","8","16","GTX 1060","RTX 2060","70","Ray tracing demands high-end GPU"
"elden ring","12","16","GTX 1060","RTX 2060","60","Open world requires good CPU and GPU"
"microsoft flight simulator","16","32","GTX 770","RTX 2080","150","Extremely demanding on all components"
"fortnite","8","16","HD 4000","RTX 3060","30","Competitive gaming needs high FPS"
"minecraft","4","8","Intel HD 4000","GTX 1060","4","With shaders/mods needs much more power"
"red dead redemption 2","8","12","GTX 770","RTX 2060","150","Beautiful but demanding open world"
"spiderman miles morales","8","16","GTX 950","RTX 3070","75","Ray tracing implementation is heavy"
"hogwarts legacy","8","16","GTX 960","RTX 3080","85","Large open world with detailed graphics"
"counter strike 2","8","16","GTX 1050","RTX 3060","85","Competitive FPS needs high refresh rate"
"witcher 3","8","16","GTX 660","GTX 1060","50","Optimized but still requires decent hardware"
"apex legends","8","16","GTX 970","RTX 2060","22","Fast-paced shooter benefits from good CPU and GPU"
"overwatch 2","8","16","GTX 600","GTX 1060","30","Optimized for a wide range of systems"
"valorant","4","8","Intel HD 4000","GTX 1050","20","Very optimized but high refresh rates need better hardware"
"league of legends","4","8","Intel HD 4000","GTX 1050","12","Optimized for low-end systems"
"dota 2","4","8","Intel HD 4000","GTX 1050","15","Optimized for low-end systems"
"pubg","8","16","GTX 960","RTX 2060","30","Popular battle royale game"
"rainbow six siege","8","16","GTX 660","GTX 1060","61","Tactical shooter with moderate requirements"
"call of duty warzone","8","16","GTX 960","RTX 2060","175","Battle royale with high system demands"
"assassins creed valhalla","8","16","GTX 960","RTX 2070","50","Open world with detailed environments"
"forza horizon 5","8","16","GTX 970","RTX 2060","110","Racing game with high graphical fidelity"
"doom eternal","8","16","GTX 1060","RTX 2080","50","Fast-paced shooter with high frame rates"
"far cry 6","8","16","GTX 970","RTX 2060","60","Open world shooter with detailed graphics"
"hitman 3","8","16","GTX 1060","RTX 2060","80","Stealth game with high detail levels"
"resident evil village","8","16","GTX 1050","RTX 2060","50","Horror game with ray tracing support"
"cyberpunk 2077","8","16","GTX 1060","RTX 2060","70","Ray tracing demands high-end GPU"
"elden ring","12","16","GTX 1060","RTX 2060","60","Open world requires good CPU and GPU"
"microsoft flight simulator","16","32","GTX 770","RTX 2080","150","Extremely demanding on all components"
"fortnite","8","16","HD 4000","RTX 3060","30","Competitive gaming needs high FPS"
"hunted: call of the wild","8","16","GTX 960","RTX 2060","85","Realistic graphics require good GPU  "
"the sims 4","4","8","Intel HD 4000","GTX 1050","15","Optimized for a wide range of systems"
"starfield","16","32","RTX 2060","RTX 3080","125","New space RPG with high system demands"
"baldur's gate 3","16","32","GTX 1060","RTX 2070","70","Graphically intensive RPG"  
"age of empires iv","8","16","GTX 660","GTX 1060","42","Real-time strategy with moderate requirements"
"total war: warhammer iii","16","32","GTX 1060","RTX 2070","60","Strategy game with high graphical fidelity"
"huntshowdown","8","16","GTX 970","RTX 2060","50","Co-op shooter with detailed environments"
"ark survival evolved","8","16","GTX 670","GTX 1060","60","Open world survival game"
"the outer worlds","8","16","GTX 770","GTX 1060","40","Sci-fi RPG with moderate requirements"
"fallout 76","8","16","GTX 760","GTX 1060","45","Online RPG with moderate system demands"
"ghost of tsushima pc","16","32","GTX 1070","RTX 2070","50","Open world action game with high fidelity"
"death stranding pc","8","16","GTX 1050","RTX 2060","80","Unique open world game with good optimization"
"control","8","16","GTX 1060","RTX 2060","42","Ray tracing features require powerful GPU"
"metro exodus","8","16","GTX 970","RTX 2060","60","Graphically intensive shooter"
"shadow of the tomb raider","8","16","GTX 960","RTX 2060","40","Action-adventure with detailed graphics"
"watch dogs legion","8","16","GTX 970","RTX 2060","45","Open world with ray tracing support"

